logical_date,coin_id,price_usd,market_cap_usd,volume_24h_usd
2026-02-27,bitcoin,63765.0,1275546413386.3015,45392141649.892006
2026-02-27,ethereum,1856.48,224179058016.6721,22242768262.422195
